negative	burns ' fifth beer soaked film feels in almost every possible way from the writing and direction to the soggy performances tossed off
negative	it 's the element of condescension , as the filmmakers look down on their working class subjects from their lofty perch , that finally makes sex with strangers , which opens today in the new york metropolitan area , so distasteful
negative	it 's an odd show , pregnant with moods , stillborn except as a harsh conceptual exercise
negative	it 's clear why deuces wild , which was shot two years ago , has been gathering dust on mgm 's shelf
negative	has all the hallmarks of a movie designed strictly for children 's home video , a market so insatiable it absorbs all manner of lame entertainment , as long as 3 year olds find it diverting
negative	diane lane 's sophisticated performance ca n't rescue adrian lyne 's unfaithful from its sleazy moralizing
negative	a hokey piece of nonsense that tries too hard to be emotional
negative	stitch is a bad mannered , ugly and destructive little
negative	the corpse count ultimately overrides what little we learn along the way about vicarious redemption
negative	this is n't a new idea
positive	the film is old fashioned , occasionally charming and as subtle as boldface
positive	the most amazing super sized dosage of goofball stunts any `` jackass '' fan could want
positive	arteta paints a picture of lives lived in a state of quiet desperation
positive	by turns very dark and very funny
positive	all in all , a great party
positive	stuffed to the brim with ideas , american instigator michael moore 's film is a rambling examination of american gun culture that uses his usual modus operandi of crucifixion through juxtaposition
positive	a poignant lyricism runs through balzac and the little chinese seamstress that transforms this story about love and culture into a cinematic poem
positive	i 've never bought from telemarketers , but i bought this movie
positive	my wife is an actress has its moments in looking at the comic effects of jealousy
positive	far more enjoyable than its predecessor
