negative	it has more in common with a fireworks display than a movie , which normally is expected to have characters and a storyline
negative	the milieu is wholly unconvincing and the histrionics reach a truly annoying pitch
negative	too contrived to be as naturally charming as it needs to be
negative	the somber pacing and lack of dramatic fireworks make green dragon seem more like medicine than entertainment
negative	ear splitting exercise in formula crash and bash action
negative	a sluggish pace and lack of genuine narrative hem the movie in every bit as much as life hems in the spirits of these young women
negative	the whole movie is simply a lazy exercise in bad filmmaking that asks you to not only suspend your disbelief but your intelligence as well
negative	but the film itself is ultimately quite unengaging
negative	one sided documentary offers simplistic explanations to a very complex situation
negative	aggressive self glorification and a manipulative whitewash
positive	this is the kind of subject matter that could so easily have been fumbled by a lesser filmmaker , but ayres makes the right choices at every turn
positive	definitely in the guilty pleasure b movie category , reign of fire is so incredibly inane that it is laughingly enjoyable
positive	a crisp psychological drama lrb and rrb a fascinating little thriller that would have been perfect for an old `` twilight zone '' episode
positive	if you can get past the taboo subject matter , it will be well worth your time
positive	brilliantly written and well acted , yellow asphalt is an uncompromising film
positive	the beautifully choreographed kitchen ballet is simple but absorbing
positive	this seductive tease of a thriller gets the job done
positive	meeting , even exceeding expectations , it 's the best sequel since the empire strikes back a majestic achievement , an epic of astonishing grandeur and surprising emotional depth
positive	ms hutchins is talented enough and charismatic enough to make us care about zelda 's ultimate fate
positive	as chilling and fascinating as philippe mora 's modern hitler study , snide and prejudice
