negative	a distinctly minor effort that will be seen to better advantage on cable , especially considering its barely feature length running time of one hour
negative	starts out strongly before quickly losing its focus , point and purpose in a mess of mixed messages , over blown drama and bruce willis with a scar
negative	it 's still terrible !
negative	white has n't developed characters so much as caricatures , one dimensional buffoons that get him a few laughs but nothing else
negative	the leads we are given here are simply too bland to be interesting
negative	video games are more involving than this mess
negative	the most horrific movie experience i 've had since `` ca n't stop the music ''
negative	if i want a real movie , i 'll buy the criterion dvd
negative	the movie turns out to be lrb assayas ' rrb homage to the gallic ` tradition of quality , ' in all its fusty squareness
negative	though a capable thriller , somewhere along the way k 19 jettisoned some crucial drama
positive	it 's a lovely , eerie film that casts an odd , rapt spell
positive	the pleasures that it does afford may be enough to keep many moviegoers occupied amidst some of the more serious minded concerns of other year end movies
positive	` stock up on silver bullets for director neil marshall 's intense freight train of a film '
positive	the picture runs a mere 84 minutes , but it 's no glance
positive	do n't judge this one too soon it 's a dark , gritty story but it takes off in totally unexpected directions and keeps on going
positive	if cinema had been around to capture the chaos of france in the 1790 's , one imagines the result would look like something like this
positive	from the opening strains of the average white band 's `` pick up the pieces '' , you can feel the love
positive	the film fearlessly gets under the skin of the people involved this makes it not only a detailed historical document , but an engaging and moving portrait of a subculture
positive	zoom !
positive	piccoli gives a superb performance full of deep feeling
