negative	one of the most depressing movie going experiences i can think of is to sit through about 90 minutes of a so called ` comedy ' and not laugh once
negative	an amateurish , quasi improvised acting exercise shot on ugly digital video
negative	everything was as superficial as the forced new jersey lowbrow accent uma had
negative	it appears to have been made by people to whom the idea of narrative logic or cohesion is an entirely foreign concept
negative	a wishy washy melodramatic movie that shows us plenty of sturm und drung , but explains its characters ' decisions only unsatisfactorily
negative	it feels like very light errol morris , focusing on eccentricity but failing , ultimately , to make something bigger out of its scrapbook of oddballs
negative	typical anim , with cheapo animation lrb like saturday morning tv in the '60s rrb , a complex sword and sorcery plot and characters who all have big round eyes and japanese names
negative	poor ben bratt could n't find stardom if mapquest emailed him point to point driving directions
negative	clockstoppers is one of those crazy , mixed up films that does n't know what it wants to be when it grows up
negative	instead of contriving a climactic hero 's death for the beloved major character who shall remain nameless , why not invite some genuine spontaneity into the film by having the evil aliens ' laser guns actually hit something for once ?
positive	notwithstanding my problem with the movie 's final half hour , i 'm going to recommend secretary , based on the wonderful acting clinic put on by spader and gyllenhaal , and also the unique way shainberg goes about telling what at heart is a sweet little girl
positive	its metaphors are opaque enough to avoid didacticism , and the film succeeds as an emotionally accessible , almost mystical work
positive	hugh grant , who has a good line in charm , has never been more charming than in about a boy
positive	her performance moves between heartbreak and rebellion as she continually tries to accommodate to fit in and gain the unconditional love she seeks
positive	begins on a high note and sustains it beautifully
positive	simone is not a bad film
positive	matters play out realistically if not always fairly
positive	earnest , unsubtle and hollywood predictable , green dragon is still a deeply moving effort to put a human face on the travail of thousands of vietnamese
positive	with this masterful , flawless film , lrb wang rrb emerges in the front ranks of china 's now numerous , world renowned filmmakers
positive	the beauty of alexander payne 's ode to the everyman is in the details
